month_idx,lat_cell,lon_cell,chlor_a_mean,sst_mean,sharks_count_mean,years_with_obs,years_total,sharks_presence_rate,chl_norm,sst_norm,sh_norm,risk_score
1,-40,150,0.291534065,20.641666166666667,1.0,1,1,1.0,0.08108738135416105,0.36093032923228574,1.0,0.081
1,-23,166,0.08832959,27.228333000000003,2.0,1,1,1.0,0.006893837764239276,0.8371896923277447,1.0,0.007
1,-4,-81,0.514157565,24.93166616666667,1.0,1,1,1.0,0.1623711540239851,0.6711255644519689,1.0,0.162
1,-1,-91,0.369173215,24.0216665,1.0,1,1,1.0,0.10943480657601934,0.6053265992651389,1.0,0.109
1,-1,73,0.123217985,28.591666166666663,1.0,1,1,1.0,0.0196322071097712,0.9357676532407889,1.0,0.02
1,1,73,0.1354035675,28.891666,1.0,1,1,1.0,0.024081378548453037,0.9574596156805792,1.0,0.024
1,1,124,0.17710434,29.4799995,2.0,1,1,1.0,0.0393070672652599,0.9999999999276934,1.0,0.039
1,11,124,2.80829155,28.101666,1.0,1,1,1.0,0.9999999996348823,0.9003374161879104,1.0,1.0
1,21,-158,0.06944845,25.653333,1.0,1,1,1.0,0.0,0.7233068262505882,1.0,0.0
1,27,34,0.40833411,24.446666500000003,1.0,1,1,1.0,0.12373314114863565,0.6360568964605623,1.0,0.124
1,36,-5,0.457161695,15.649999833333334,1.0,1,1,1.0,0.14156095500995988,0.0,1.0,0.142
2,-22,113,0.073924795,28.0159998,1.0,1,1,1.0,0.01582064336025946,0.7795808502828221,1.0,0.016
2,-22,114,2.4893565,27.9919998,1.0,1,1,1.0,0.9999999995925452,0.7714672594732868,1.0,1.0
2,-19,178,0.117786795,27.9899996,2.0,1,1,1.0,0.033692427867228376,0.7707910592925695,1.0,0.034
2,-4,-81,0.47178346,25.7099998,2.0,1,1,1.0,0.17793008490670822,0.0,1.0,0.178
2,-1,-90,0.20073329,25.9679996,1.0,1,1,1.0,0.0674893793114939,0.08722103358924467,1.0,0.067
2,8,97,0.47897485,28.579999800000003,1.0,1,1,1.0,0.18086025162016342,0.9702502343068958,1.0,0.181
2,9,167,0.035096828,27.8499998,1.0,1,1,1.0,0.0,0.7234618471835381,1.0,0.0
2,10,-86,0.40216523,28.6679996,2.0,1,1,1.0,0.14956379964118002,0.9999999996619336,1.0,0.15
2,11,124,1.0883254,28.4319998,2.0,1,1,1.0,0.4291430868489033,0.9202164243147622,1.0,0.429
3,-39,144,0.17449181,17.459999875,4.0,1,1,1.0,0.055605410314139826,0.38872176382932555,1.0,0.056
3,-35,18,1.5624464,20.4725,1.0,1,1,1.0,0.6820482118742343,0.5429815184318039,1.0,0.682
3,-35,151,0.22475027,23.247499625,1.0,1,1,1.0,0.07828918592995154,0.6850796905188404,1.0,0.078
3,-32,115,0.94060254,23.10249975,2.0,1,1,1.0,0.40138369114856476,0.6776547463838124,1.0,0.401
3,-31,153,0.43689898,26.661249625,3.0,1,1,1.0,0.17404090086160504,0.859886069082629,1.0,0.174
3,-22,165,0.2363469,27.924999375,1.0,1,1,1.0,0.08352323712888582,0.9245983406925575,1.0,0.084
3,-21,164,2.2669044,28.3237495,1.0,1,1,1.0,0.9999999995486575,0.9450169610669575,1.0,1.0
3,-19,178,0.15415807,28.838749625,2.0,1,1,1.0,0.04642793063031635,0.9713883435088904,1.0,0.046
3,-8,-15,0.062056318,28.506249625,1.0,1,1,1.0,0.004858501798013527,0.9543621638318607,1.0,0.005
3,-1,-91,0.38253564,26.846249875,1.0,2,2,1.0,0.14950441871937303,0.8693592946369009,1.0,0.15
3,7,98,0.8341546,29.3974995,1.0,1,1,1.0,0.3533392189199014,0.9999999999487934,1.0,0.353
3,19,-113,0.05129176,24.04374975,1.0,1,1,1.0,0.0,0.7258529166725465,1.0,0.0
3,19,-111,0.07323478,24.016249625,4.0,1,1,1.0,0.00990381603442025,0.724444729997687,1.0,0.01
3,23,-76,0.052230813,25.329999375,1.0,1,1,1.0,0.00042383446574675957,0.7917173293785974,1.0,0.0
3,24,-78,0.09861605,24.744999625,1.0,1,1,1.0,0.021359460189142327,0.761761507259748,1.0,0.021
