month_idx,lat_cell,lon_cell,sharks_obs
10,1,124,1
1,-36,150,1
3,7,98,1
8,27,-83,1
12,24,-78,2
2,8,97,1
3,-31,153,3
4,7,98,1
1,16,-89,1
11,-32,115,1
1,-36,136,1
11,18,-78,1
1,-27,32,1
2,-36,150,2
7,16,-89,1
8,-9,115,2
9,-23,113,1
9,25,35,1
11,-33,152,1
12,-33,115,1
6,-18,122,1
10,-26,113,1
10,44,-64,1
12,-36,150,1
12,-28,32,3
12,-1,-91,1
2,-28,32,1
3,-36,150,1
3,-35,18,1
3,-33,115,1
3,-19,178,2
3,-1,-91,1
4,-28,32,5
4,28,-112,1
5,-28,32,5
6,-28,32,3
6,-24,113,3
6,-23,113,1
7,-28,32,2
7,9,123,1
8,-28,32,4
9,-28,32,5
9,-21,116,1
10,-28,32,1
10,25,-80,1
11,-28,32,9
11,-17,146,1
11,25,-80,1
12,-28,32,6
12,-24,113,1
12,-1,-91,1
12,25,-78,1
1,-28,32,11
1,-24,113,3
1,-1,-91,1
1,33,-118,1
2,-36,136,1
2,-28,32,8
2,-1,-90,1
2,10,99,1
3,-28,32,8
3,-1,-91,1
4,25,-80,1
5,-28,32,4
5,-27,113,3
5,-23,113,1
5,25,-78,2
5,33,-79,1
5,44,-9,1
6,-28,32,3
6,17,-64,1
7,-28,32,4
7,51,-6,2
8,-28,32,1
8,1,-92,5
8,28,-83,1
9,-36,136,1
9,-28,32,11
9,18,-67,1
9,32,-118,1
10,-28,32,8
11,-32,115,1
11,-28,32,10
12,-28,32,11
12,20,-88,1
1,-28,32,7
1,-24,151,2
2,-28,32,3
2,-24,151,1
2,-22,113,1
2,-22,114,1
3,-28,32,1
3,-27,32,3
3,19,-113,1
3,32,-118,1
4,-29,153,1
4,-28,32,8
4,-28,153,1
4,-24,113,1
4,-17,145,1
4,7,98,1
4,9,97,1
4,27,-83,1
5,-35,22,1
5,-34,151,2
5,-33,152,1
5,-28,32,1
5,-2,73,1
5,1,73,1
5,3,72,1
5,5,72,1
5,29,-113,1
5,36,-122,1
6,-35,18,1
6,-35,22,12
6,-31,30,1
6,-28,32,6
6,-19,178,6
6,21,-159,1
7,-35,22,2
7,-34,151,2
7,-31,30,1
7,-29,153,3
7,-28,32,7
7,-4,-81,2
7,21,-159,2
7,33,-79,1
8,-42,146,1
8,-34,151,1
8,-28,32,5
8,-24,151,1
8,-4,-81,1
8,24,35,1
8,26,-81,2
8,32,-81,2
9,-21,117,1
10,-29,153,6
10,-9,115,1
10,18,-66,1
10,24,35,1
10,34,-77,2
10,51,-6,1
11,-34,151,3
11,-20,147,1
11,-17,145,1
11,18,-66,1
11,19,-82,1
12,-34,134,1
12,-34,151,1
12,4,118,3
12,9,167,1
12,18,-70,1
12,18,-66,1
12,24,-78,1
1,-40,150,1
1,-33,151,1
1,-33,152,1
1,-23,166,2
1,-4,-81,1
1,-1,73,1
1,1,73,1
1,1,124,2
1,11,124,1
1,21,-158,1
1,27,34,1
1,36,-5,1
2,-33,152,1
2,-28,32,2
2,-19,178,2
2,-9,116,6
2,-4,-81,2
2,9,167,1
2,10,-86,2
2,11,124,2
2,28,-112,1
3,-39,144,4
3,-36,150,1
3,-35,150,1
3,-35,151,1
3,-34,151,2
3,-33,115,1
3,-33,152,1
3,-32,115,2
3,-29,153,2
3,-28,32,6
3,-24,113,1
3,-22,165,1
3,-21,164,1
3,-8,-15,1
3,9,99,1
3,10,125,1
3,12,30,1
3,18,-66,1
3,19,-111,4
3,23,-76,1
3,24,-78,1
3,24,-77,1
3,26,-81,4
3,28,-83,1
3,30,-86,1
3,30,-82,1
3,36,-122,1
3,50,-6,1
4,-42,148,1
4,-42,174,1
4,-38,149,1
4,-37,149,1
4,-37,150,1
4,-35,135,1
4,-35,150,3
4,-35,151,1
4,-34,151,5
4,-33,115,4
4,-33,152,3
4,-32,115,1
4,-30,153,1
4,-29,153,9
4,-28,153,1
4,-26,113,1
4,-25,152,1
4,-22,114,2
4,-20,146,1
4,-19,178,3
4,-17,145,1
4,-17,146,2
4,-10,147,1
4,-8,-15,1
4,-1,-92,1
4,5,-163,1
4,9,167,1
4,10,99,1
4,15,100,1
4,18,-65,1
4,24,-113,2
4,26,-82,1
4,26,-81,2
4,29,-113,1
4,33,-119,1
4,35,-76,1
4,42,3,1
4,43,4,1
5,-36,117,1
5,-34,151,3
5,-32,115,2
5,-28,32,3
5,-27,153,1
5,-24,113,3
5,-22,113,1
5,-19,177,4
5,-19,178,58
5,2,104,1
5,16,-87,1
5,18,-79,1
5,19,-157,1
5,19,-82,2
5,21,-159,1
5,21,-72,1
5,25,-81,1
5,25,56,1
5,26,-80,2
5,33,-119,1
5,34,-77,6
6,-36,150,1
6,-34,151,4
6,-28,32,3
6,-28,153,1
6,-25,152,1
6,-19,178,52
6,2,104,1
6,7,134,2
6,20,-157,1
6,26,-81,4
6,27,-83,1
6,28,-113,1
6,30,-87,1
6,39,-75,1
6,40,-74,1
